SetNumber,ElementID,Qty,Colour,Category,DesignID,ElementName,ImageURL,ElementSetCount,GeometryStatus,Projection,WidthMM,HeightMM,ThicknessMM,StorageMode,RecommendedDepthMM,FloorWidthMM,FloorHeightMM,FloorAreaMM2
17101-1,6185547,1,Dark Azur,Bricks,41750,LEFT SHELL 3X8X2 W/BOW/ANGLE,/cdn/product-assets/element.img.lod5photo.192x192/6185547.jpg,1,exact,XZ,24.2,64.2,20.8,shadow_stack,22.8,28.2,68.2,1923.24
17101-1,6185548,1,Dark Azur,Bricks,41749,RIGHT SHELL 3X8X2 W/BOW/ANGLE,/cdn/product-assets/element.img.lod5photo.192x192/6185548.jpg,1,exact,XZ,24.2,64.2,20.8,shadow_stack,22.8,28.2,68.2,1923.24
17101-1,6194498,1,Dark Azur,Bricks,34298,"BRICK 2X4, W/ BOW, NO. 3",/cdn/product-assets/element.img.lod5photo.192x192/6194498.jpg,1,design_alias,XZ,16.2,32.2,9.6,shadow_stack,11.6,20.2,36.2,731.24
17101-1,6197913,2,Dark Azur,Bricks,2730,TECHNIC BRICK 1X10 Ø4.9,/cdn/product-assets/element.img.lod5photo.192x192/6197913.jpg,6,exact,XY,80.2,11.4,8.0,shadow_stack,18.0,84.2,16.0,1347.2
17101-1,6330158,2,Dark Azur,Bricks,48442,BRICK 2X2 Ø4.85 HORIZ. SNAP,/cdn/product-assets/element.img.lod5photo.192x192/6330158.jpg,3,design_alias,XZ,30.85,16.2,13.6,shadow_stack,29.2,34.85,20.2,703.96
17101-1,6411366,2,Dark Azur,Bricks,32807,"BRICK 1X1X1 1/3, W/ ARCH",/cdn/product-assets/element.img.lod5photo.192x192/6411366.jpg,18,exact,XZ,8.2,16.2,12.8,shadow_stack,27.6,16.0,20.2,323.2
17101-1,6163687,2,Dark Azur,Technic Beams,32316,TECHNIC 5M BEAM,/cdn/product-assets/element.img.lod5photo.192x192/6163687.jpg,8,exact,YZ,8.2,39.4,7.2,shadow_stack,16.4,16.0,43.4,694.4
17101-1,4522678,2,Dark Green,Bricks,6541,TECHNIC BRICK 1X1,/cdn/product-assets/element.img.lod5photo.192x192/4522678.jpg,40,exact,XY,8.2,11.4,8.0,shadow_stack,18.0,16.0,16.0,256.0
17101-1,4566179,1,Dark Green,Plates,87079,FLAT TILE 2X4,/cdn/product-assets/element.img.lod5photo.192x192/4566179.jpg,90,exact,XZ,32.2,16.2,3.2,shadow_stack,5.2,36.2,20.2,731.24
17101-1,6206248,4,Dark Green,Bricks,31493,BRICK 1X2 WITH CROSS HOLE,/cdn/product-assets/element.img.lod5photo.192x192/6206248.jpg,62,exact,XY,16.2,11.4,8.0,shadow_stack,34.0,20.2,16.0,323.2
17101-1,4210997,4,Dark Stone Grey,Plates,3034,PLATE 2X8,/cdn/cs/set/assets/blt97a7c652adde3f2c/4210997.jpg,648,exact,XZ,64.2,16.2,4.8,shadow_stack,21.2,68.2,20.2,1377.64
17101-1,4211001,3,Dark Stone Grey,Plates,3710,PLATE 1X4,/cdn/product-assets/element.img.lod5photo.192x192/4211001.jpg,1103,exact,XZ,32.2,8.2,4.8,shadow_stack,16.4,36.2,16.0,579.2
17101-1,4211060,4,Dark Stone Grey,Bricks,3003,BRICK 2X2,/cdn/product-assets/element.img.lod5photo.192x192/4211060.jpg,458,exact,XZ,16.2,16.2,11.2,edge_magazine,42.0,20.2,20.2,408.04
